,country_iso3,date,value,indicator,last_updated,language
0,AFE,2021,,BM.KLT.DINV.CD.WD,2022-06-30,0
1,AFE,2020,-1446269295.02574,BM.KLT.DINV.CD.WD,2022-06-30,0
2,AFE,2019,1746437798.33782,BM.KLT.DINV.CD.WD,2022-06-30,0
3,AFE,2018,4510929645.31624,BM.KLT.DINV.CD.WD,2022-06-30,0
4,AFE,2017,9302483946.48087,BM.KLT.DINV.CD.WD,2022-06-30,0
5,AFE,2016,5629871356.81857,BM.KLT.DINV.CD.WD,2022-06-30,0
6,AFE,2015,5743044616.04801,BM.KLT.DINV.CD.WD,2022-06-30,0
7,AFE,2014,8455765601.34068,BM.KLT.DINV.CD.WD,2022-06-30,0
8,AFE,2013,9241225090.60064,BM.KLT.DINV.CD.WD,2022-06-30,0
9,AFE,2012,4257683921.16593,BM.KLT.DINV.CD.WD,2022-06-30,0
10,AFE,2011,2442621660.90244,BM.KLT.DINV.CD.WD,2022-06-30,0
11,AFE,2010,2832141095.5109,BM.KLT.DINV.CD.WD,2022-06-30,0
12,AFE,2009,1878727116.20636,BM.KLT.DINV.CD.WD,2022-06-30,0
13,AFE,2008,642709366.581249,BM.KLT.DINV.CD.WD,2022-06-30,0
14,AFE,2007,4117750834.47492,BM.KLT.DINV.CD.WD,2022-06-30,0
15,AFE,2006,6591224545.06737,BM.KLT.DINV.CD.WD,2022-06-30,0
16,AFE,2005,1305961360.11815,BM.KLT.DINV.CD.WD,2022-06-30,0
17,AFE,2004,2054946098.97667,BM.KLT.DINV.CD.WD,2022-06-30,0
18,AFE,2003,810495025.402252,BM.KLT.DINV.CD.WD,2022-06-30,0
19,AFE,2002,-236578842.987933,BM.KLT.DINV.CD.WD,2022-06-30,0
20,AFE,2001,-3137412349.00533,BM.KLT.DINV.CD.WD,2022-06-30,0
21,AFE,2000,296657311.480683,BM.KLT.DINV.CD.WD,2022-06-30,0
22,AFE,1999,1594224899.37984,BM.KLT.DINV.CD.WD,2022-06-30,0
23,AFE,1998,1548149216.82244,BM.KLT.DINV.CD.WD,2022-06-30,0
24,AFE,1997,2389953101.95313,BM.KLT.DINV.CD.WD,2022-06-30,0
25,AFE,1996,1093420493.26833,BM.KLT.DINV.CD.WD,2022-06-30,0
26,AFE,1995,2602047974.96106,BM.KLT.DINV.CD.WD,2022-06-30,0
27,AFE,1994,1350476754.60232,BM.KLT.DINV.CD.WD,2022-06-30,0
28,AFE,1993,389566922.121228,BM.KLT.DINV.CD.WD,2022-06-30,0
29,AFE,1992,2031350570.48157,BM.KLT.DINV.CD.WD,2022-06-30,0
30,AFE,1991,269954783.143582,BM.KLT.DINV.CD.WD,2022-06-30,0
31,AFE,1990,66246059.7562324,BM.KLT.DINV.CD.WD,2022-06-30,0
32,AFE,1989,182641790.858502,BM.KLT.DINV.CD.WD,2022-06-30,0
33,AFE,1988,55007433.8129221,BM.KLT.DINV.CD.WD,2022-06-30,0
34,AFE,1987,195226684.326563,BM.KLT.DINV.CD.WD,2022-06-30,0
35,AFE,1986,86197007.8342043,BM.KLT.DINV.CD.WD,2022-06-30,0
36,AFE,1985,66782875.7159243,BM.KLT.DINV.CD.WD,2022-06-30,0
37,AFE,1984,208807607.881919,BM.KLT.DINV.CD.WD,2022-06-30,0
38,AFE,1983,179456292.526871,BM.KLT.DINV.CD.WD,2022-06-30,0
39,AFE,1982,8773418.26130297,BM.KLT.DINV.CD.WD,2022-06-30,0
40,AFE,1981,656295545.443487,BM.KLT.DINV.CD.WD,2022-06-30,0
41,AFE,1980,771195149.079996,BM.KLT.DINV.CD.WD,2022-06-30,0
42,AFE,1979,17171753.7283625,BM.KLT.DINV.CD.WD,2022-06-30,0
43,AFE,1978,242891893.27202,BM.KLT.DINV.CD.WD,2022-06-30,0
44,AFE,1977,72252324.6979651,BM.KLT.DINV.CD.WD,2022-06-30,0
45,AFE,1976,38190419.2708439,BM.KLT.DINV.CD.WD,2022-06-30,0
46,AFE,1975,127121093.954623,BM.KLT.DINV.CD.WD,2022-06-30,0
47,AFE,1974,114794172.6,BM.KLT.DINV.CD.WD,2022-06-30,0
48,AFE,1973,51876263.58,BM.KLT.DINV.CD.WD,2022-06-30,0
49,AFE,1972,19513337.37,BM.KLT.DINV.CD.WD,2022-06-30,0
50,AFE,1971,29361718.19,BM.KLT.DINV.CD.WD,2022-06-30,0
51,AFE,1970,16799993.28,BM.KLT.DINV.CD.WD,2022-06-30,0
52,AFE,1969,,BM.KLT.DINV.CD.WD,2022-06-30,0
53,AFE,1968,,BM.KLT.DINV.CD.WD,2022-06-30,0
54,AFE,1967,,BM.KLT.DINV.CD.WD,2022-06-30,0
55,AFE,1966,,BM.KLT.DINV.CD.WD,2022-06-30,0
56,AFE,1965,,BM.KLT.DINV.CD.WD,2022-06-30,0
57,AFE,1964,,BM.KLT.DINV.CD.WD,2022-06-30,0
58,AFE,1963,,BM.KLT.DINV.CD.WD,2022-06-30,0
59,AFE,1962,,BM.KLT.DINV.CD.WD,2022-06-30,0
60,AFE,1961,,BM.KLT.DINV.CD.WD,2022-06-30,0
61,AFE,1960,,BM.KLT.DINV.CD.WD,2022-06-30,0
62,AFW,2021,,BM.KLT.DINV.CD.WD,2022-06-30,0
63,AFW,2020,503918459.893094,BM.KLT.DINV.CD.WD,2022-06-30,0
64,AFW,2019,1403696926.47075,BM.KLT.DINV.CD.WD,2022-06-30,0
65,AFW,2018,416749532.612228,BM.KLT.DINV.CD.WD,2022-06-30,0
66,AFW,2017,1193998090.78307,BM.KLT.DINV.CD.WD,2022-06-30,0
67,AFW,2016,2464596618.48025,BM.KLT.DINV.CD.WD,2022-06-30,0
68,AFW,2015,2855645002.8989,BM.KLT.DINV.CD.WD,2022-06-30,0
69,AFW,2014,3915570150.78212,BM.KLT.DINV.CD.WD,2022-06-30,0
70,AFW,2013,3188802368.7981,BM.KLT.DINV.CD.WD,2022-06-30,0
71,AFW,2012,4390732470.34152,BM.KLT.DINV.CD.WD,2022-06-30,0
72,AFW,2011,2383214232.61811,BM.KLT.DINV.CD.WD,2022-06-30,0
73,AFW,2010,3570904677.73756,BM.KLT.DINV.CD.WD,2022-06-30,0
74,AFW,2009,1280157635.58983,BM.KLT.DINV.CD.WD,2022-06-30,0
75,AFW,2008,856122692.610169,BM.KLT.DINV.CD.WD,2022-06-30,0
76,AFW,2007,1022167747.43072,BM.KLT.DINV.CD.WD,2022-06-30,0
77,AFW,2006,822034270.314627,BM.KLT.DINV.CD.WD,2022-06-30,0
78,AFW,2005,942240145.483901,BM.KLT.DINV.CD.WD,2022-06-30,0
79,AFW,2004,560834423.188205,BM.KLT.DINV.CD.WD,2022-06-30,0
80,AFW,2003,155063707.191964,BM.KLT.DINV.CD.WD,2022-06-30,0
81,AFW,2002,-17656602.0693937,BM.KLT.DINV.CD.WD,2022-06-30,0
82,AFW,2001,-368971656.118027,BM.KLT.DINV.CD.WD,2022-06-30,0
83,AFW,2000,1004293879.61439,BM.KLT.DINV.CD.WD,2022-06-30,0
84,AFW,1999,424330898.044363,BM.KLT.DINV.CD.WD,2022-06-30,0
85,AFW,1998,-914922897.468191,BM.KLT.DINV.CD.WD,2022-06-30,0
86,AFW,1997,814081947.677047,BM.KLT.DINV.CD.WD,2022-06-30,0
87,AFW,1996,743556755.075399,BM.KLT.DINV.CD.WD,2022-06-30,0
88,AFW,1995,280123755.152342,BM.KLT.DINV.CD.WD,2022-06-30,0
89,AFW,1994,215064880.903035,BM.KLT.DINV.CD.WD,2022-06-30,0
90,AFW,1993,480485861.868315,BM.KLT.DINV.CD.WD,2022-06-30,0
91,AFW,1992,394740431.31992,BM.KLT.DINV.CD.WD,2022-06-30,0
92,AFW,1991,669491711.09751,BM.KLT.DINV.CD.WD,2022-06-30,0
93,AFW,1990,382627653.544071,BM.KLT.DINV.CD.WD,2022-06-30,0
94,AFW,1989,863445973.09099,BM.KLT.DINV.CD.WD,2022-06-30,0
95,AFW,1988,259984789.320012,BM.KLT.DINV.CD.WD,2022-06-30,0
96,AFW,1987,83329532.1851278,BM.KLT.DINV.CD.WD,2022-06-30,0
97,AFW,1986,-232528188.915156,BM.KLT.DINV.CD.WD,2022-06-30,0
98,AFW,1985,278932020.490633,BM.KLT.DINV.CD.WD,2022-06-30,0
99,AFW,1984,81050984.5689789,BM.KLT.DINV.CD.WD,2022-06-30,0
100,AFW,1983,77488864.1153311,BM.KLT.DINV.CD.WD,2022-06-30,0
101,AFW,1982,168769374.526279,BM.KLT.DINV.CD.WD,2022-06-30,0
102,AFW,1981,73624474.2492248,BM.KLT.DINV.CD.WD,2022-06-30,0
103,AFW,1980,238225140.349356,BM.KLT.DINV.CD.WD,2022-06-30,0
104,AFW,1979,23815777.5091633,BM.KLT.DINV.CD.WD,2022-06-30,0
105,AFW,1978,8851589.88160917,BM.KLT.DINV.CD.WD,2022-06-30,0
106,AFW,1977,32104791.9166233,BM.KLT.DINV.CD.WD,2022-06-30,0
107,AFW,1976,52079659.4207633,BM.KLT.DINV.CD.WD,2022-06-30,0
108,AFW,1975,10740658.9709686,BM.KLT.DINV.CD.WD,2022-06-30,0
109,AFW,1974,8932070.71134358,BM.KLT.DINV.CD.WD,2022-06-30,0
110,AFW,1973,4000000,BM.KLT.DINV.CD.WD,2022-06-30,0
111,AFW,1972,,BM.KLT.DINV.CD.WD,2022-06-30,0
112,AFW,1971,,BM.KLT.DINV.CD.WD,2022-06-30,0
113,AFW,1970,,BM.KLT.DINV.CD.WD,2022-06-30,0
114,AFW,1969,,BM.KLT.DINV.CD.WD,2022-06-30,0
115,AFW,1968,,BM.KLT.DINV.CD.WD,2022-06-30,0
116,AFW,1967,,BM.KLT.DINV.CD.WD,2022-06-30,0
117,AFW,1966,,BM.KLT.DINV.CD.WD,2022-06-30,0
118,AFW,1965,,BM.KLT.DINV.CD.WD,2022-06-30,0
119,AFW,1964,,BM.KLT.DINV.CD.WD,2022-06-30,0
120,AFW,1963,,BM.KLT.DINV.CD.WD,2022-06-30,0
121,AFW,1962,,BM.KLT.DINV.CD.WD,2022-06-30,0
122,AFW,1961,,BM.KLT.DINV.CD.WD,2022-06-30,0
123,AFW,1960,,BM.KLT.DINV.CD.WD,2022-06-30,0
124,ARB,2021,,BM.KLT.DINV.CD.WD,2022-06-30,0
125,ARB,2020,31285508811.9758,BM.KLT.DINV.CD.WD,2022-06-30,0
126,ARB,2019,46074412583.8585,BM.KLT.DINV.CD.WD,2022-06-30,0
127,ARB,2018,45289335486.1403,BM.KLT.DINV.CD.WD,2022-06-30,0
128,ARB,2017,35100572180.376,BM.KLT.DINV.CD.WD,2022-06-30,0
129,ARB,2016,41211133516.4533,BM.KLT.DINV.CD.WD,2022-06-30,0
